img,pan_prob,pan_action,mean_dist,yol_prob,yol_action
001100,0.294,4,0,1.0,9
001139,0.308,4,0,1.0,9
000188,1.0,1,20.5669,0.959,1
001150,0.28,4,0,1.0,9
000102,0.812,1,28.55755,0.517,1
001259,0.319,4,0.0,0.0,5
001117,0.285,4,0,1.0,9
000240,0.869,2,0,1.0,9
001009,0.475,3,0,1.0,9
000440,1.0,7,10.80176,0.845,7
000542,1.0,7,0.77344,0.406,3
001322,0.294,6,0,1.0,9
001331,0.315,3,0,1.0,9
001379,0.345,4,0,1.0,9
001354,0.405,3,0,1.0,9
000405,0.89,2,0,1.0,9
001122,0.413,4,0,1.0,9
000491,0.287,5,0,1.0,9
001036,0.419,3,6.75109,0.259,1
001212,0.434,4,8.60187,0.643,5
001387,0.325,3,0,1.0,9
000870,0.451,3,28.58969,0.566,5
000122,0.521,1,0.0,0.0,1
001389,0.422,4,0,1.0,9
000424,0.974,7,3.87822,0.391,7
000164,0.996,1,40.75184,0.844,1
000687,0.403,8,3.08569,0.487,1
000564,1.0,7,4.20553,0.758,7
000774,0.473,8,0,1.0,9
001141,0.401,3,0,1.0,9
001430,0.567,5,8.36514,0.983,5
001648,1.0,7,7.92917,0.712,7
001305,0.419,4,0,1.0,9
000075,0.974,1,7.08163,0.589,1
000181,1.0,1,28.10006,0.81,1
000572,0.799,7,0,1.0,9
001161,0.447,4,0,1.0,9
001054,0.387,3,0,1.0,9
001306,0.378,3,0,1.0,9
000262,0.835,2,0,1.0,9
001360,0.326,3,0,1.0,9
001515,0.523,5,5.0501,0.791,5
000794,0.25,8,4.44719,0.574,1
000906,0.451,4,9.9687,0.386,5
000223,0.816,2,0,1.0,9
001207,0.372,3,5.2343,0.811,5
000887,0.376,3,0.0,0.0,3
000395,0.935,2,0.0,0.0,1
001423,0.362,5,8.42199,0.72,5
001730,0.533,5,29.64334,0.722,5
001021,0.314,3,0,1.0,9
001064,0.365,4,0,1.0,9
001522,0.452,3,3.86988,0.962,5
001047,0.423,4,0,1.0,9
001604,0.438,3,0,1.0,9
000246,0.666,2,0,1.0,9
001242,0.423,3,3.50466,0.928,5
000954,0.432,4,4.02,0.655,5
001342,0.402,3,0,1.0,9
001001,0.348,4,0,1.0,9
000272,0.79,2,0,1.0,9
000573,0.799,7,0,1.0,9
000702,0.368,8,0,1.0,9
000239,0.809,2,0,1.0,9
001572,0.344,5,0,1.0,9
001551,0.562,5,0,1.0,9
001136,0.33,4,0,1.0,9
001104,0.409,4,0,1.0,9
000024,0.946,1,7.72112,0.368,1
000073,0.998,1,0.0,0.0,1
000071,0.996,1,0.0,0.0,1
001165,0.381,3,0,1.0,9
000990,0.402,3,18.78505,0.615,5
000869,0.32,3,26.20347,0.302,3
000923,0.364,3,21.64982,0.625,3
001584,0.32,3,0,1.0,9
000142,0.756,1,20.4417,0.852,1
001459,0.355,3,0.32885,0.367,5
000293,0.781,2,5.58088,0.509,3
001090,0.344,3,0,1.0,9
000289,0.797,2,0,1.0,9
001386,0.441,4,0,1.0,9
000934,0.318,3,1.11803,0.308,5
000864,0.498,4,12.99222,0.477,5
000873,0.437,4,10.54701,0.4,3
000148,0.99,1,34.0466,0.59,1
000919,0.36,3,6.79779,0.46,3
001664,0.998,7,4.80131,0.912,7
000177,1.0,1,0.0,0.22,1
001146,0.416,4,0,1.0,9
000770,0.278,8,0,1.0,9
000109,0.997,1,18.33207,0.765,1
000846,0.452,4,0.0,0.0,3
000519,1.0,7,9.71802,0.76,7
000803,0.326,3,20.8495,0.511,3
000903,0.586,3,35.51014,0.579,5
001555,0.568,5,0,1.0,9
001188,0.406,4,0,1.0,9
001215,0.471,3,35.70677,0.428,3
001571,0.548,5,0,1.0,9
000655,0.362,8,0,1.0,9
000900,0.417,4,19.42143,0.678,5
000411,0.491,1,11.47883,0.64,1
000726,0.577,8,0,1.0,9
001338,0.464,4,0,1.0,9
001332,0.366,4,0,1.0,9
000921,0.403,3,4.56724,0.596,5
001749,0.344,3,49.03086,0.479,3
001164,0.403,3,0,1.0,9
001725,0.511,5,2.04973,0.651,5
001645,0.996,7,6.24306,0.482,7
000751,0.568,8,0.0,0.189,3
001152,0.413,4,2.76134,0.243,3
001129,0.323,4,0,1.0,9
000590,0.48,7,0.60087,0.359,7
001536,0.444,2,0,1.0,9
000650,0.285,8,0,1.0,9
001689,0.413,3,0.0,0.0,3
001480,0.559,5,7.42775,0.964,5
