img,pan_prob,pan_action,mean_dist,yol_prob,yol_action
000871,0.604,3,17.28848,0.625,3
001189,0.627,4,0,1.0,9
001062,0.433,4,0,1.0,9
000980,0.589,4,33.7891,0.827,3
001079,0.611,4,0,1.0,9
001097,0.647,4,0,1.0,9
001120,0.498,4,0,1.0,9
001121,0.563,4,0,1.0,9
001742,0.429,7,1.0,0.389,5
001108,0.573,4,0,1.0,9
000866,0.567,4,20.52429,0.571,3
001058,0.54,4,0,1.0,9
001013,0.519,4,0.0,0.474,1
001019,0.632,4,0,1.0,9
001061,0.403,4,0,1.0,9
001160,0.514,4,0,1.0,9
000969,0.609,4,17.67291,0.735,5
000823,0.776,3,2.85175,0.522,5
001673,0.422,7,9.32553,0.448,5
001748,0.426,7,8.77901,0.533,5
001084,0.565,4,0,1.0,9
001672,0.422,7,9.32553,0.448,5
000913,0.524,4,0.0,0.537,5
001174,0.562,4,0,1.0,9
001010,0.628,4,0,1.0,9
000951,0.568,4,13.61365,0.742,5
001192,0.999,3,0,1.0,9
000504,0.426,7,2.94114,0.926,7
000560,0.421,7,1.52744,0.502,3
000479,0.367,4,0,1.0,9
000917,0.581,3,18.03318,0.567,3
000458,0.441,8,2.77672,0.93,7
001112,0.665,3,0,1.0,9
001738,0.422,7,8.5202,0.478,5
001123,0.535,4,0,1.0,9
000876,0.639,4,21.4418,0.744,5
001156,0.571,4,0,1.0,9
001665,0.438,7,5.17442,0.742,7
000588,0.443,7,0.7264,0.602,7
001085,0.69,4,0,1.0,9
000531,0.432,7,2.21972,0.716,7
000501,0.424,7,1.62001,0.456,7
000425,0.408,7,3.87822,0.537,7
001186,0.526,4,0,1.0,9
001172,0.662,4,0,1.0,9
001118,0.482,4,0,1.0,9
001027,0.539,3,0,1.0,9
000465,0.431,8,2.60223,0.914,7
001050,0.578,4,0,1.0,9
001091,0.654,4,0,1.0,9
000747,0.432,7,0.48379,0.447,3
000607,0.431,8,0,1.0,9
000464,0.431,8,2.60223,0.914,7
000882,0.616,4,0.0,0.996,5
001684,0.463,4,10.34089,0.513,3
001737,0.422,7,8.5202,0.478,5
001110,0.545,4,0,1.0,9
001103,0.633,4,0,1.0,9
001131,0.624,4,0,1.0,9
000649,0.435,8,0,1.0,9
001634,0.411,7,6.6513,0.935,7
001714,0.544,4,0.14142,0.812,3
000955,0.491,4,0.0,0.385,5
000739,0.419,8,0,1.0,9
001726,0.442,7,2.04973,0.776,5
000788,0.423,7,0,1.0,9
001649,0.573,4,3.81072,0.939,7
000596,0.45,4,5.52445,0.819,7
000795,0.455,8,4.44719,0.588,1
001198,0.964,3,0,1.0,9
001669,0.389,4,6.36724,0.897,7
000832,0.563,3,0.0,0.464,5
001002,0.678,4,0,1.0,9
000546,0.44,7,5.40632,0.956,7
001191,0.659,4,0,1.0,9
000621,0.441,8,1.87216,0.632,3
001063,0.476,4,0,1.0,9
000667,0.444,8,0,1.0,9
001052,0.536,4,0,1.0,9
001647,0.381,7,7.92917,0.748,7
000690,0.439,8,0,1.0,9
000576,0.435,7,5.96598,0.887,7
000942,0.616,4,0.0,0.423,5
000733,0.442,8,0,1.0,9
001667,0.423,8,0.92337,0.438,7
000510,0.423,7,4.08205,0.901,7
001015,0.372,4,0,1.0,9
001632,0.454,7,11.08434,0.857,7
001697,0.575,3,17.63583,0.604,3
001067,0.496,4,0,1.0,9
000758,0.43,7,0,1.0,9
000723,0.437,8,4.82241,0.625,3
000914,0.484,4,23.31742,0.97,3
000708,0.447,8,0,1.0,9
000484,0.429,8,0.80943,0.438,3
000419,0.432,7,0.0,0.439,5
001094,0.597,4,0,1.0,9
001051,0.627,4,0.0,0.702,1
000710,0.433,4,4.93641,0.712,1
000732,0.442,8,0,1.0,9
000783,0.421,7,0,1.0,9
001155,0.635,4,0.0,0.408,3
000994,0.988,3,13.2571,0.747,3
000455,0.434,8,0.65017,0.445,3
000559,0.418,7,7.89377,0.921,7
001661,0.422,7,5.23296,0.664,7
001072,0.511,3,0,1.0,9
001668,0.423,8,0.92337,0.438,7
000808,0.872,3,14.25839,0.541,3
000968,0.928,3,33.66441,0.818,3
000804,0.598,4,10.21183,0.743,5
000789,0.423,7,0,1.0,9
001197,0.652,4,0,1.0,9
001016,0.658,4,0,1.0,9
001713,0.456,7,10.23622,0.521,5
001151,0.631,4,0,1.0,9
001119,0.54,4,0,1.0,9
000809,0.78,3,27.45879,0.876,3
000668,0.462,4,2.24911,0.495,1
000986,0.587,4,31.05784,0.915,3
000674,0.445,8,0,1.0,9
001686,0.432,7,12.20808,0.594,5
000902,0.348,4,33.57386,0.645,3
000836,0.584,4,0.0,0.359,5
000881,0.562,3,0.0,0.407,3
001068,0.597,4,0,1.0,9
000571,0.435,8,3.27425,0.941,7
000597,0.45,4,5.52445,0.819,7
001639,0.366,7,4.9825,0.95,7
000821,0.996,3,0.0,0.436,3
001089,0.622,3,0,1.0,9
000735,0.418,4,0,1.0,9
001017,0.615,4,0,1.0,9
001638,0.44,8,3.20335,0.542,7
001078,0.668,4,0,1.0,9
000753,0.431,7,8.9465,0.48,3
001640,0.484,3,7.54981,0.725,7
001712,0.456,7,10.23622,0.521,5
001723,0.557,3,0.0,0.45,5
001026,0.587,4,0,1.0,9
000661,0.435,8,0,1.0,9
000875,0.592,4,0.0,0.456,5
000511,0.423,7,4.08205,0.901,7
001032,0.548,4,0,1.0,9
001685,0.432,7,12.20808,0.594,5
000959,0.622,4,22.71055,0.941,3
001710,0.432,7,13.75694,0.699,5
000552,0.436,7,18.61332,0.847,7
000461,0.428,7,0,1.0,9
000651,0.439,7,0,1.0,9
000431,0.459,3,9.46389,0.545,5
001096,0.643,4,0,1.0,9
001074,0.597,4,0,1.0,9
000848,0.988,3,22.67757,0.708,3
001048,0.532,4,0,1.0,9
000936,0.599,4,18.8168,0.469,5
000711,0.433,4,4.93641,0.712,1
000513,0.449,7,9.85111,0.608,7
001042,0.618,4,0,1.0,9
000945,0.643,4,11.67145,0.459,5
001743,0.429,7,1.0,0.389,5
001183,0.613,4,0,1.0,9
001039,0.608,4,0,1.0,9
000507,0.448,8,0.0,0.529,3
001124,0.533,4,0,1.0,9
000960,0.495,4,13.3426,0.586,5
001099,0.532,4,0,1.0,9
001037,0.546,4,0,1.0,9
001650,0.348,4,3.78456,0.714,7
000500,0.424,7,1.62001,0.456,7
000703,0.448,4,0,1.0,9
001642,0.436,3,8.52928,0.673,7
000534,0.43,7,5.44871,0.915,7
001676,0.445,8,24.88622,0.754,5
000998,0.59,4,0.68007,0.473,3
000645,0.425,8,2.85595,0.492,1
000512,0.449,7,9.85111,0.608,7
000993,0.561,4,23.64188,0.755,5
000801,0.634,4,11.62362,0.895,5
000759,0.43,7,0,1.0,9
000627,0.426,8,0,1.0,9
001178,0.595,4,0,1.0,9
000820,0.986,3,7.78621,0.43,5
